Pin_dBm X,Pin_dBm Y,Pout_dBm X,Pout_dBm Y,g_dB X,g_dB Y
0.0002884031503126642,-5.400000305213661,0.0002884031503126642,8.394044949832242,0.0002884031503126642,13.7940452550459
0.0003019951720402054,-5.200000305214337,0.0003019951720402054,8.558009317161684,0.0003019951720402054,13.75800962237602
0.0003162277660168419,-5.00000030521498,0.0003162277660168419,8.72087358399488,0.0003162277660168419,13.72087388920986
0.0003311311214825953,-4.800000305215601,0.0003311311214825953,8.882621006937555,0.0003311311214825953,13.68262131215316
0.000346736850452536,-4.600000305216189,0.000346736850452536,9.043235493974061,0.000346736850452536,13.64323579919025
0.000363078054770106,-4.400000305216758,0.000363078054770106,9.202701644772155,0.000363078054770106,13.60270194998891
0.0003801893963205661,-4.200000305217292,0.0003801893963205661,9.361004789267328,0.0003801893963205661,13.56100509448462
0.0003981071705535024,-4.000000305217803,0.0003981071705535024,9.518131024319484,0.0003981071705535024,13.51813132953729
0.0004168693834703408,-3.800000305218298,0.0004168693834703408,9.674067248248928,0.0004168693834703408,13.47406755346723
0.0004365158322401717,-3.600000305218758,0.0004365158322401717,9.828801193074421,0.0004365158322401717,13.42880149829318
0.0004570881896148811,-3.40000030521921,0.0004570881896148811,9.982321454294029,0.0004570881896148811,13.38232175951324
0.0004786300923226447,-3.200000305219635,0.0004786300923226447,10.13461751806922,0.0004786300923226447,13.33461782328886
0.000501187233627279,-3.000000305220049,0.000501187233627279,10.28567978569342,0.000501187233627279,13.28568009091346
0.0005248074602497797,-2.800000305220434,0.0005248074602497797,10.43549959524864,0.0005248074602497797,13.23549990046908
0.000549540873857632,-2.600000305220805,0.000549540873857632,10.58406924037668,0.000549540873857632,13.18406954559748
0.0005754399373371648,-2.400000305221164,0.0005754399373371648,10.7313819861146,0.0005754399373371648,13.13138229133576
0.000602559586074366,-2.200000305221502,0.000602559586074366,10.87743208176832,0.000602559586074366,13.07743238698982
0.000630957344480202,-2.000000305221826,0.000630957344480202,11.02221477082096,0.000630957344480202,13.02221507604278
0.0006606934480076051,-1.800000305222136,0.0006606934480076051,11.16572629789624,0.0006606934480076051,12.96572660311837
0.0006918309709189461,-1.60000030522243,0.0006918309709189461,11.30796391281888,0.0006918309709189461,12.90796421804131
0.0007244359600750001,-1.400000305222713,0.0007244359600750001,11.44892587183577,0.0007244359600750001,12.84892617705848
0.0007585775750291944,-1.200000305222984,0.0007585775750291944,11.58861143608102,0.0007585775750291944,12.78861174130401
0.0007943282347242927,-1.000000305223242,0.0007943282347242927,11.72702086738712,0.0007943282347242927,12.72702117261036
