/Pdrop X,/Pdrop Y
1.280175000000005e-06,2.053468896564982e-14
1.280176000000005e-06,2.054794339551502e-14
1.280177000000005e-06,2.056122183409789e-14
1.280178000000005e-06,2.057452432305876e-14
1.280179000000005e-06,2.058785090415976e-14
1.280180000000005e-06,2.060120161926573e-14
1.280181000000005e-06,2.061457651035126e-14
1.280182000000005e-06,2.062797561948294e-14
1.280183000000005e-06,2.064139898884414e-14
1.280184000000005e-06,2.065484666072278e-14
1.280185000000005e-06,2.066831867749752e-14
1.280186000000005e-06,2.068181508166687e-14
1.280187000000005e-06,2.06953359158377e-14
1.280188000000005e-06,2.07088812227074e-14
1.280189000000005e-06,2.072245104508998e-14
1.280190000000005e-06,2.073604542590704e-14
1.280191000000005e-06,2.074966440818016e-14
1.280192000000005e-06,2.076330803504517e-14
1.280193000000005e-06,2.077697634974399e-14
1.280194000000005e-06,2.079066939562246e-14
1.280195000000005e-06,2.080438721613492e-14
1.280196000000005e-06,2.081812985484473e-14
1.280197000000005e-06,2.08318973554339e-14
1.280198000000005e-06,2.084568976167403e-14
1.280199000000006e-06,2.085950711745811e-14
1.280200000000006e-06,2.087334946679147e-14
1.280201000000006e-06,2.088721685377994e-14
1.280202000000006e-06,2.090110932264569e-14
1.280203000000006e-06,2.091502691772094e-14
1.280204000000006e-06,2.092896968344215e-14
1.280205000000006e-06,2.09429376643656e-14
1.280206000000006e-06,2.095693090515535e-14
1.280207000000006e-06,2.097094945058672e-14
1.280208000000006e-06,2.098499334554293e-14
1.280209000000006e-06,2.099906263502956e-14
1.280210000000006e-06,2.101315736414993e-14
1.280211000000006e-06,2.102727757813633e-14
1.280212000000006e-06,2.10414233223243e-14
1.280213000000006e-06,2.105559464216425e-14
1.280214000000006e-06,2.106979158321875e-14
1.280215000000006e-06,2.108401419117406e-14
1.280216000000006e-06,2.109826251181646e-14
1.280217000000006e-06,2.111253659105387e-14
1.280218000000006e-06,2.112683647491458e-14
1.280219000000006e-06,2.114116220953311e-14
1.280220000000006e-06,2.115551384116229e-14
1.280221000000006e-06,2.11698914161701e-14
1.280222000000006e-06,2.118429498105221e-14
1.280223000000006e-06,2.119872458240182e-14
1.280224000000006e-06,2.121318026693924e-14
1.280225000000006e-06,2.122766208150345e-14
1.280226000000006e-06,2.124217007305008e-14
1.280227000000006e-06,2.125670428864631e-14
1.280228000000006e-06,2.127126477548767e-14
1.280229000000006e-06,2.128585158087651e-14
1.280230000000006e-06,2.130046475224239e-14
1.280231000000006e-06,2.131510433713647e-14
1.280232000000006e-06,2.132977038321899e-14
1.280233000000006e-06,2.134446293828009e-14
1.280234000000006e-06,2.135918205021931e-14
1.280235000000007e-06,2.137392776707214e-14
1.280236000000007e-06,2.138870013697832e-14
1.280237000000007e-06,2.140349920820877e-14
1.280238000000007e-06,2.141832502915634e-14
1.280239000000007e-06,2.143317764832458e-14
1.280240000000007e-06,2.144805711435483e-14
1.280241000000007e-06,2.14629634759983e-14
1.280242000000007e-06,2.147789678213761e-14
1.280243000000007e-06,2.149285708177283e-14
1.280244000000007e-06,2.150784442403044e-14
1.280245000000007e-06,2.152285885815726e-14
1.280246000000007e-06,2.153790043353129e-14
1.280247000000007e-06,2.155296919964854e-14
1.280248000000007e-06,2.15680652061323e-14
1.280249000000007e-06,2.158318850273029e-14
1.280250000000007e-06,2.159833913931717e-14
1.280251000000007e-06,2.161351716589128e-14
1.280252000000007e-06,2.162872263257909e-14
1.280253000000007e-06,2.164395558963422e-14
1.280254000000007e-06,2.165921608743589e-14
1.280255000000007e-06,2.167450417648782e-14
1.280256000000007e-06,2.168981990742997e-14
1.280257000000007e-06,2.170516333101895e-14
1.280258000000007e-06,2.172053449815144e-14
1.280259000000007e-06,2.173593345984481e-14
1.280260000000007e-06,2.17513602672503e-14
1.280261000000007e-06,2.176681497163712e-14
1.280262000000007e-06,2.178229762442393e-14
1.280263000000007e-06,2.179780827714321e-14
1.280264000000007e-06,2.181334698147006e-14
1.280265000000007e-06,2.182891378919606e-14
1.280266000000007e-06,2.184450875225596e-14
1.280267000000007e-06,2.18601319227152e-14
1.280268000000007e-06,2.187578335276432e-14
1.280269000000007e-06,2.189146309473343e-14
1.280270000000007e-06,2.19071712010804e-14
1.280271000000008e-06,2.192290772440014e-14
1.280272000000008e-06,2.193867271741501e-14
1.280273000000008e-06,2.195446623299577e-14
1.280274000000008e-06,2.197028832412574e-14
1.280275000000008e-06,2.19861390439402e-14
1.280276000000008e-06,2.200201844570375e-14
1.280277000000008e-06,2.201792658281209e-14
1.280278000000008e-06,2.203386350880608e-14
1.280279000000008e-06,2.204982927735666e-14
