final_Pout (Tfront=0.1) X,final_Pout (Tfront=0.1) Y,final_Pout (Tfront=0.2) X,final_Pout (Tfront=0.2) Y,final_Pout (Tfront=0.3) X,final_Pout (Tfront=0.3) Y,final_Pout (Tfront=0.4) X,final_Pout (Tfront=0.4) Y,final_Pout (Tfront=0.5) X,final_Pout (Tfront=0.5) Y,final_Pout (Tfront=0.6) X,final_Pout (Tfront=0.6) Y,final_Pout (Tfront=0.7) X,final_Pout (Tfront=0.7) Y,final_Pout (Tfront=0.8) X,final_Pout (Tfront=0.8) Y,final_Pout (Tfront=0.9) X,final_Pout (Tfront=0.9) Y,final_Pout (Tfront=0.05) X,final_Pout (Tfront=0.05) Y,final_Pout (Tfront=0.15) X,final_Pout (Tfront=0.15) Y,final_Pout (Tfront=0.25) X,final_Pout (Tfront=0.25) Y,final_Pout (Tfront=0.35) X,final_Pout (Tfront=0.35) Y,final_Pout (Tfront=0.45) X,final_Pout (Tfront=0.45) Y,final_Pout (Tfront=0.55) X,final_Pout (Tfront=0.55) Y,final_Pout (Tfront=0.65) X,final_Pout (Tfront=0.65) Y,final_Pout (Tfront=0.75) X,final_Pout (Tfront=0.75) Y,final_Pout (Tfront=0.85) X,final_Pout (Tfront=0.85) Y,final_Pout (Tfront=0.95) X,final_Pout (Tfront=0.95) Y
0.65,0.06568248008808686,0.65,0.06145531868489645,0.65,0.05724578930685634,0.65,0.05298164458918598,0.65,0.04854439870789752,0.65,0.04390160367068963,0.65,0.03880752924816028,0.65,0.03277715724853227,0.65,0.02421811144890387,0.65,0.06775114303874462,0.65,0.06357642450770642,0.65,0.05936711663174367,0.65,0.05503722446148858,0.65,0.05076079896875246,0.65,0.04625049341750682,0.65,0.04144495183891458,0.65,0.03596307542638563,0.65,0.02903289675326267,0.65,0.01671286753894775
0.68,0.06342467158910191,0.68,0.05954089146203909,0.68,0.05557908194040338,0.68,0.05156634319765166,0.68,0.04739549391290851,0.68,0.04291173282278374,0.68,0.03795612561650865,0.68,0.03197186599230559,0.68,0.02329831626964531,0.68,0.06536320294869546,0.68,0.06146276785461756,0.68,0.05756569307828039,0.68,0.05360808952006105,0.68,0.04951396021203009,0.68,0.04519237865594981,0.68,0.04052750567644751,0.68,0.03514330608740825,0.68,0.02819995631634632,0.68,0.01557104333899679
0.71,0.06085755010727444,0.71,0.05726959870039593,0.71,0.05361955062581351,0.71,0.04984040664148208,0.71,0.04588395917158705,0.71,0.04159630961750376,0.71,0.03674538133234363,0.71,0.03081326289109281,0.71,0.02201202593362501,0.71,0.06253598193502316,0.71,0.05906142617949219,0.71,0.05545441234627508,0.71,0.05172454715208778,0.71,0.04790925735071461,0.71,0.04378668093862465,0.71,0.03927861522164827,0.71,0.03397289557768852,0.71,0.02700879848288618,0.71,0.01405979047877263
0.74,0.05791315672136289,0.74,0.05463052515848757,0.74,0.05123489317327752,0.74,0.04772300655318713,0.74,0.04397129718430099,0.74,0.03984876271236402,0.74,0.03512487475090369,0.74,0.0292294308537624,0.74,0.02032476845430437,0.74,0.059537944746619,0.74,0.05629938274664253,0.74,0.05296251068858612,0.74,0.04951754610613992,0.74,0.04586103110984301,0.74,0.04197447782438123,0.74,0.03757921120468388,0.74,0.03238019274311098,0.74,0.0254096226105313,0.74,0.01211687109715944
0.77,0.05456416352655936,0.77,0.0515653670294814,0.77,0.04841117262866869,0.77,0.04512166458070445,0.77,0.04155629891622418,0.77,0.03760408888632578,0.77,0.03299764635715348,0.77,0.02714806967042475,0.77,0.01813837756099262,0.77,0.05605238024673884,0.77,0.05309784983737115,0.77,0.05001397805867932,0.77,0.04679785474596507,0.77,0.04337448255976983,0.77,0.03963923911431215,0.77,0.03540554030022562,0.77,0.03028625503437216,0.77,0.0232990235260895,0.77,0.009707863535117787
0.8,0.05062560461527289,0.8,0.04790516609789081,0.8,0.04501239841118092,0.8,0.04191529219638425,0.8,0.03854153159892311,0.8,0.03474644087819917,0.8,0.03024706793397688,0.8,0.02443974661141358,0.8,0.01530430462776335,0.8,0.05199845241878062,0.8,0.04929970463504756,0.8,0.04650199754598534,0.8,0.04349542995483811,0.8,0.04028110925622543,0.8,0.03671171043441739,0.8,0.03261823881823261,0.8,0.02757732407241185,0.8,0.02057504908667367,0.8,0.00662645127960147
0.83,0.04603949177163053,0.83,0.04353529671473886,0.83,0.04084606364473173,0.83,0.03796322040873699,0.83,0.03475538342616652,0.83,0.03110265926438904,0.83,0.0266978457840303,0.83,0.02092202580430094,0.83,0.01166100179046727,0.83,0.04726960113301947,0.83,0.0448101668291139,0.83,0.04222044237978408,0.83,0.03943627652403715,0.83,0.03641055937731993,0.83,0.03300613258424776,0.83,0.02901909582786683,0.83,0.02406139679377106,0.83,0.01701841157386533,0.83,0.002754144110371678
0.86,0.04045088771861581,0.86,0.038152161625341,0.86,0.03567368672047807,0.86,0.03295797742280816,0.86,0.02990400925637814,0.86,0.026389418432355,0.86,0.02208763203471873,0.86,0.01631216982808607,0.86,0.006865969651798246,0.86,0.04155544118280993,0.86,0.03932105213553509,0.86,0.03693950347210713,0.86,0.03435388023062637,0.86,0.03148888824745813,0.86,0.02821590474979935,0.86,0.02435298767253164,0.86,0.01946390047283204,0.86,0.01235868484975987,0.86,6.664989306926264e-07
0.89,0.03339896131730829,0.89,0.0312950696895137,0.89,0.02898318176017839,0.89,0.02644259331515158,0.89,0.02355160065565403,0.89,0.02013128265181236,0.89,0.01589112621267458,0.89,0.01010496310829337,0.89,0.0005854584256162609,0.89,0.03441316012348735,0.89,0.03237683169981937,0.89,0.03016086937685935,0.89,0.02776558574755416,0.89,0.02504489631140528,0.89,0.02191828832540971,0.89,0.01814296876634694,0.89,0.01326866607545321,0.89,0.006084760324770793,0.89,7.086169589281109e-07
0.92,0.02400930037980428,0.92,0.02206198314284812,0.92,0.01990420172794355,0.92,0.01749098277699136,0.92,0.01470250194293276,0.92,0.01136137066171127,0.92,0.007129359023192757,0.92,0.001370226527576213,0.92,7.393099457277072e-07,0.92,0.02490020028311938,0.92,0.02304269165612982,0.92,0.02102326728555989,0.92,0.01873142109613996,0.92,0.016141603512259,0.92,0.01311610116836159,0.92,0.009394329911081392,0.92,0.004498979127759451,0.92,7.208374989344589e-07,0.92,6.200085502644944e-07
0.95,0.009927995788324746,0.95,0.008101575043944247,0.95,0.00605359084965166,0.95,0.003740612121824546,0.95,0.001088161823190939,0.95,7.410405402792196e-07,0.95,7.738429905583786e-07,0.95,7.328640848453552e-07,0.95,5.917433010432452e-07,0.95,0.01077158098682754,0.95,0.009035432595973458,0.95,0.007119728049672305,0.95,0.004932333513418612,0.95,0.002472905699121242,0.95,7.013246161501681e-07,0.95,7.642362179188716e-07,0.95,7.648328920268114e-07,0.95,6.753436982641659e-07,0.95,4.809757003957702e-07
