Lane,Wavelength [nm],Insertion Loss [dB]
0,1272.8300000000186,-26.612939328545004
0,1272.8400000000186,-26.540452252827947
0,1272.8500000000188,-26.468807868706826
0,1272.8600000000188,-26.398084684420127
0,1272.8700000000188,-26.328356694632863
0,1272.880000000019,-26.259693232084377
0,1272.890000000019,-26.1921588900552
0,1272.900000000019,-26.125813509058254
0,1272.9100000000192,-26.060712221981525
0,1272.9200000000192,-25.99690555186228
0,1272.9300000000192,-25.934439555740774
0,1272.9400000000194,-25.87335600940365
0,1272.9500000000194,-25.813692626381748
0,1272.9600000000194,-25.755483306328145
0,1272.9700000000196,-25.698758407271434
0,1272.9800000000196,-25.64354503655735
0,1272.9900000000196,-25.589867356274855
0,1273.0000000000198,-25.53774689819821
0,1273.0100000000198,-25.487202884756705
0,1273.0200000000198,-25.438252551945403
0,1273.0300000000198,-25.390911470792194
0,1273.04000000002,-25.34519386452152
0,1273.05000000002,-25.30111291816112
0,1273.06000000002,-25.25868107835345
0,1273.0700000000202,-25.217910340979216
0,1273.0800000000202,-25.1788125245577
0,1273.0900000000202,-25.141399527662912
0,1273.1000000000204,-25.10568356892569
0,1273.1100000000204,-25.071677408202532
0,1273.1200000000204,-25.039394547833048
0,1273.1300000000206,-25.008849413346077
0,1273.1400000000206,-24.980057512967452
0,1273.1500000000206,-24.953035575132706
0,1273.1600000000208,-24.927801664413476
0,1273.1700000000208,-24.904375275359918
0,1273.1800000000208,-24.882777404556332
0,1273.190000000021,-24.86303060128629
0,1273.200000000021,-24.845158997212636
0,1273.210000000021,-24.82918831567182
0,1273.2200000000212,-24.815145861302803
0,1273.2300000000212,-24.803060491038554
0,1273.2400000000212,-24.792962567321485
0,1273.2500000000214,-24.784883894383324
0,1273.2600000000214,-24.778857639077458
0,1273.2700000000214,-24.774918237154235
0,1273.2800000000216,-24.773101286269558
0,1273.2900000000216,-24.773443426870514
0,1273.3000000000216,-24.775982212290423
0,1273.3100000000218,-24.780755969181527
0,1273.3200000000218,-24.78780364948307
0,1273.3300000000218,-24.79716467505051
0,1273.340000000022,-24.80887877617466
0,1273.350000000022,-24.822985824761016
0,1273.360000000022,-24.8395256635453
0,1273.3700000000222,-24.85853793191755
0,1273.3800000000222,-24.880061889366132
0,1273.3900000000222,-24.904136237227974
0,1273.4000000000224,-24.9307989393948
0,1273.4100000000224,-24.96008704265528
0,1273.4200000000224,-24.992036497065634
0,1273.4300000000226,-25.02668197668516
0,1273.4400000000226,-25.064056701056995
0,1273.4500000000226,-25.104192257777665
0,1273.4600000000228,-25.147118425818636
0,1273.4700000000228,-25.192863000138065
0,1273.4800000000228,-25.241451617065813
0,1273.490000000023,-25.29290758062089
0,1273.500000000023,-25.347251689153868
0,1273.510000000023,-25.40450206217489
0,1273.5200000000232,-25.464673966804344
0,1273.5300000000232,-25.527779643140217
0,1273.5400000000232,-25.59382812820833
0,1273.5500000000234,-25.66282507711561
0,1273.5600000000234,-25.734772581068356
0,1273.5700000000234,-25.809668980976937
0,1273.5800000000236,-25.88750867524537
0,1273.5900000000236,-25.968281921217518
0,1273.6000000000236,-26.051974627944787
0,1273.6100000000238,-26.138568139656066
0,1273.6200000000238,-26.22803900773835
0,1273.6300000000238,-26.320358749900223
0,1273.640000000024,-26.415493594497566
0,1273.650000000024,-26.513404208327763
0,1273.660000000024,-26.614045406000756
0,1273.6700000000242,-26.717365839016956
0,1273.6800000000242,-26.823307662764687
0,1273.6900000000242,-26.93180617969898
0,1273.7000000000241,-27.04278945754375
0,1273.7100000000244,-27.15617792092373
0,1273.7200000000244,-27.271883916302123
0,1273.7300000000243,-27.38981124945039
0,1273.7400000000246,-27.509854697040907
0,1273.7500000000246,-27.631899492899983
0,1273.7600000000245,-27.75582079286307
0,1273.7700000000248,-27.881483121493
0,1273.7800000000248,-28.00873980783207
0,1273.7900000000247,-28.13743241707488
0,1273.800000000025,-28.26739018966655
0,1273.810000000025,-28.398429500093314
0,1273.820000000025,-28.53035335226206
0,1273.8300000000252,-28.66295092992995
0,1273.8400000000252,-28.79599722600469
0,1273.8500000000251,-28.92925277591237
0,1273.8600000000254,-29.06246352568751
0,1273.8700000000254,-29.195360867417612
0,1273.8800000000253,-29.327661877907826
0,1273.8900000000256,-29.459069798703425
0,1273.9000000000256,-29.589274795478964
0,1273.9100000000255,-29.717955035908247
0,1273.9200000000258,-29.84477812072029
0,1273.9300000000258,-29.969402899671866
0,1273.9400000000257,-30.091481695538903
0,1273.950000000026,-30.21066294929756
0,1273.960000000026,-30.326594286660217
0,1273.970000000026,-30.438925989585353
0,1273.9800000000262,-30.54731483729975
0,1273.9900000000262,-30.65142826141791
0,1274.0000000000261,-30.750948736589258
0,1274.0100000000264,-30.845578307575863
0,1274.0200000000264,-30.935043133066216
0,1274.0300000000263,-31.019097910489982
0,1274.0400000000266,-31.09753003417882
0,1274.0500000000266,-31.170163333965103
0,1274.0600000000265,-31.236861245105402
0,1274.0700000000268,-31.29752927044798
0,1274.0800000000268,-31.352116615158643
0,1274.0900000000267,-31.400616901469768
0,1274.100000000027,-31.443067904189444
0,1274.110000000027,-31.479550283517085
0,1274.120000000027,-31.510185331244497
0,1274.1300000000272,-31.535131783644673
0,1274.1400000000272,-31.554581787850786
0,1274.1500000000271,-31.5687561377721
0,1274.1600000000274,-31.577898915714528
0,1274.1700000000274,-31.58227169037305
0,1274.1800000000273,-31.582147426652313
0,1274.1900000000276,-31.577804260094627
0,1274.2000000000276,-31.569519282143155
0,1274.2100000000275,-31.557562467602196
0,1274.2200000000278,-31.54219086089403
0,1274.2300000000278,-31.523643120005403
0,1274.2400000000277,-31.50213450034418
0,1274.250000000028,-31.47785234437642
0,1274.260000000028,-31.450952131222238
0,1274.270000000028,-31.42155412936181
0,1274.2800000000282,-31.389740688865835
0,1274.2900000000282,-31.355554206609057
0,1274.3000000000281,-31.31899579592439
0,1274.3100000000281,-31.28002469249367
0,1274.3200000000284,-31.238558430756367
0,1274.3300000000283,-31.194473824015354
0,1274.3400000000283,-31.147608781931815
0,1274.3500000000286,-31.09776499482291
0,1274.3600000000285,-31.044711504762972
0,1274.3700000000285,-30.988189170563068
0,1274.3800000000288,-30.927916013614492
0,1274.3900000000287,-30.86359340385232
0,1274.4000000000287,-30.794913013836357
0,1274.410000000029,-30.72156442953087
0,1274.420000000029,-30.643243266932796
0,1274.430000000029,-30.55965960105912
0,1274.4400000000292,-30.47054647746494
0,1274.4500000000291,-30.3756682442826
0,1274.4600000000291,-30.27482842442913
0,1274.4700000000294,-30.16787684256144
0,1274.4800000000293,-30.054715733456646
0,1274.4900000000293,-29.935304589770023
0,1274.5000000000296,-29.809663555076508
0,1274.5100000000295,-29.677875230628405
0,1274.5200000000295,-29.540084837779467
0,1274.5300000000298,-29.39649875597093
0,1274.5400000000297,-29.247381531323096
0,1274.5500000000297,-29.09305151995314
0,1274.56000000003,-28.933875385843848
0,1274.57000000003,-28.770261710472997
0,1274.58000000003,-28.602653993904138
0,1274.5900000000302,-28.431523327709517
0,1274.6000000000301,-28.25736100686595
0,1274.6100000000301,-28.08067131973769
0,1274.6200000000304,-27.90196471892446
0,1274.6300000000303,-27.72175153201383
0,1274.6400000000303,-27.5405363272105
0,1274.6500000000306,-27.358813006707898
0,1274.6600000000305,-27.177060660103084
0,1274.6700000000305,-26.995740178061112
0,1274.6800000000308,-26.81529159848804
0,1274.6900000000308,-26.63613213743713
0,1274.7000000000307,-26.458654843480296
0,1274.710000000031,-26.283227804221283
0,1274.720000000031,-26.11019383173469
0,1274.730000000031,-25.93987055289107
0,1274.7400000000312,-25.772550832939054
0,1274.7500000000312,-25.60850346704855
0,1274.7600000000311,-25.447974079742465
0,1274.7700000000314,-25.29118617877661
0,1274.7800000000314,-25.138342318114045
0,1274.7900000000313,-24.98962533094522
0,1274.8000000000316,-24.84519959973894
0,1274.8100000000316,-24.7052123373564
0,1274.8200000000315,-24.5697948579042
0,1274.8300000000318,-24.439063820299637
0,1274.8400000000318,-24.313122432939007
0,1274.8500000000317,-24.19206160920204
0,1274.860000000032,-24.075961068576817
0,1274.870000000032,-23.96489037860229
0,1274.880000000032,-23.858909935787167
0,1274.8900000000322,-23.75807188491896
0,1274.9000000000322,-23.66242097692135
0,1274.9100000000321,-23.57199536682574
0,1274.9200000000324,-23.48682735372894
0,1274.9300000000324,-23.406944064861698
0,1274.9400000000323,-23.332368086868055
0,1274.9500000000326,-23.26311804655486
0,1274.9600000000326,-23.199209144453924
0,1274.9700000000325,-23.140653643507733
0,1274.9800000000325,-23.087461316322212
0,1274.9900000000328,-23.03963985287281
0,1275.0000000000327,-22.997195231760365
0,1275.0100000000327,-22.96013205689132
0,1275.020000000033,-22.928453862188594
0,1275.030000000033,-22.90216338558293
0,1275.040000000033,-22.881262814908737
0,1275.0500000000332,-22.86575400617433
0,1275.0600000000331,-22.855638676432438
0,1275.0700000000331,-22.850918571774926
0,1275.0800000000334,-22.85159561142381
0,1275.0900000000333,-22.85767200879587
0,1275.1000000000333,-22.86915036945961
0,1275.1100000000336,-22.886033766784458
0,1275.1200000000335,-22.908325794695045
0,1275.1300000000335,-22.936030597586296
