g_dB (L=0.0003) X,g_dB (L=0.0003) Y,g_dB (L=0.0004) X,g_dB (L=0.0004) Y,g_dB (L=0.00025) X,g_dB (L=0.00025) Y,g_dB (L=0.00035) X,g_dB (L=0.00035) Y,g_dB (L=0.00044) X,g_dB (L=0.00044) Y
3.981071705534978e-05,12.43292641862696,3.981071705534978e-05,14.58220779358406,3.981071705534978e-05,11.31474119044896,3.981071705534978e-05,13.52360432900847,3.981071705534978e-05,15.40258862584299
5.011872336272731e-05,12.40814256468347,5.011872336272731e-05,14.54321866313086,5.011872336272731e-05,11.2950736876766,5.011872336272731e-05,13.49243891220513,5.011872336272731e-05,15.35620054594344
6.309573444801943e-05,12.37735648339944,6.309573444801943e-05,14.49512225012891,6.309573444801943e-05,11.27058128290117,6.309573444801943e-05,13.45384696723649,6.309573444801943e-05,15.29918041266362
7.943282347242829e-05,12.33923538448782,7.943282347242829e-05,14.43606172937107,7.943282347242829e-05,11.24015997931106,7.943282347242829e-05,13.4062409299092,7.943282347242829e-05,15.2294570139373
0.0001000000000000002,12.29221200514897,0.0001000000000000002,14.3639293534483,0.0001000000000000002,11.20249481817589,0.0001000000000000002,13.34778342614774,0.0001000000000000002,15.14472166912325
0.000125892541179417,12.23447298362263,0.000125892541179417,14.27638829110715,0.000125892541179417,11.15604039297296,0.000125892541179417,13.27638922100698,0.000125892541179417,15.04247007050491
0.0001584893192461117,12.16396119406703,0.0001584893192461117,14.17092020005171,0.0001584893192461117,11.09900998842812,0.0001584893192461117,13.18974722354044,0.0001584893192461117,14.92007294081103
0.0001995262314968884,12.07839811072112,0.0001995262314968884,14.0449020927079,0.0001995262314968884,11.02937877084902,0.0001995262314968884,13.08536819950352,0.0001995262314968884,14.77487598353108
0.0002511886431509586,11.97533187039739,0.0002511886431509586,13.89571206196132,0.0002511886431509586,10.94490709314627,0.0002511886431509586,12.96066180610798,0.0002511886431509586,14.60432426890702
0.0003162277660168386,11.85221469855657,0.0003162277660168386,13.72085787020459,0.0003162277660168386,10.84318957939589,0.0003162277660168386,12.81304261165316,0.0003162277660168386,14.40610020097468
0.0003981071705534982,11.70650945268139,0.0003981071705534982,13.51811648070953,0.0003981071705534982,10.72173365541745,0.0003981071705534982,12.64005923038456,0.0003981071705534982,14.17825935674674
0.0005011872336272735,11.53581953701467,0.0005011872336272735,13.28566822317961,0.0005011872336272735,10.57806729211545,0.0005011872336272735,12.43953478422944,0.0005011872336272735,13.9193467352993
0.0006309573444801948,11.33803053317555,0.0006309573444801948,13.0222083111923,0.0006309573444801948,10.40987024598363,0.0006309573444801948,12.20970248499335,0.0006309573444801948,13.62847844836726
0.0007943282347242835,11.11144744638618,0.0007943282347242835,12.72702175048902,0.0007943282347242835,10.21511719011123,0.0007943282347242835,11.9493190928496,0.0007943282347242835,13.30538021193912
0.001000000000000003,10.85491654017443,0.001000000000000003,12.4000044608426,0.001000000000000003,9.992227383236759,0.001000000000000003,11.65774145885114,0.001000000000000003,12.95036330221662
0.001258925411794171,10.56787452040688,0.001258925411794171,12.04170245209382,0.001258925411794171,9.740128926119274,0.001258925411794171,11.33496451985387,0.001258925411794171,12.56437758575421
0.001584893192461118,10.25044739475973,0.001584893192461118,11.65316547118792,0.001584893192461118,9.458448029086561,0.001584893192461118,10.98160515599419,0.001584893192461118,12.14875624765496
0.001995262314968885,9.90338389227415,0.001995262314968885,11.23598087081379,0.001995262314968885,9.14744193402792,0.001995262314968885,10.59886789241743,0.001995262314968885,11.70532799742907
0.002511886431509587,9.528047504068244,0.002511886431509587,10.79214781011363,0.002511886431509587,8.808050348220348,0.002511886431509587,10.18847710168051,0.002511886431509587,11.23624643164596
0.003162277660168389,9.126349740414797,0.003162277660168389,10.32401509800732,0.003162277660168389,8.441848791605212,0.003162277660168389,9.752605562042238,0.003162277660168389,10.74394277761851
0.003981071705534985,8.700680743545725,0.003981071705534985,9.83422001413199,0.003981071705534985,8.050990545458243,0.003981071705534985,9.2938050285912,0.003981071705534985,10.23107474151002
0.005011872336272739,8.25384193172218,0.005011872336272739,9.325642463724432,0.005011872336272739,7.638138954282143,0.005011872336272739,8.814947310405557,0.005011872336272739,9.700492291830887
0.006309573444801953,7.788987850769056,0.006309573444801953,8.801375457659649,0.006309573444801953,7.206400236388626,0.006309573444801953,8.31917967996355,0.006309573444801953,9.155219739206082
0.007943282347242842,7.30958031499374,0.007943282347242842,8.264710354228216,0.007943282347242842,6.759263052941485,0.007943282347242842,7.809894951394969,0.007943282347242842,8.598451657601037
0.01,6.819354166621686,0.01,7.71913341150313,0.01,6.300546736500384,0.01,7.290713750187585,0.01,8.033558905903559
