/Pdrop (Plsr=0.1) X,/Pdrop (Plsr=0.1) Y,/Pdrop (Plsr=0.01) X,/Pdrop (Plsr=0.01) Y,/Pdrop (Plsr=0.001) X,/Pdrop (Plsr=0.001) Y
1.30963399999998e-06,0.01698233382487755,1.30963399999998e-06,0.001763730768095058,1.30963399999998e-06,0.000176531576313921
1.30963999999998e-06,0.01737767125037662,1.30963999999998e-06,0.001808937541865296,1.30963999999998e-06,0.0001810665609848658
1.30964599999998e-06,0.0177847722778926,1.30964599999998e-06,0.001855878340440665,1.30964599999998e-06,0.000185776461191673
1.30965199999998e-06,0.01820384792165494,1.30965199999998e-06,0.00190463282940116,1.30965199999998e-06,0.000190669423461663
1.309657999999979e-06,0.0186350859221758,1.309657999999979e-06,0.001955284501755404,1.309657999999979e-06,0.0001957540004781451
1.309663999999979e-06,0.0190786463357439,1.309663999999979e-06,0.002007920813519468,1.309663999999979e-06,0.0002010391678887336
1.309669999999979e-06,0.01953465673577417,1.309669999999979e-06,0.002062633312016825,1.309669999999979e-06,0.0002065343408545771
1.309675999999979e-06,0.02000320703947834,1.309675999999979e-06,0.002119517753782928,1.309675999999979e-06,0.0002122493900965291
1.309681999999979e-06,0.02048434398667737,1.309681999999979e-06,0.002178674208305481,1.309681999999979e-06,0.0002181946571381315
1.309687999999979e-06,0.0209780653146153,1.309687999999979e-06,0.002240207143200285,1.309687999999979e-06,0.0002243809683922598
1.309693999999979e-06,0.02148431369065473,1.309693999999979e-06,0.002304225485473988,1.309693999999979e-06,0.0002308196476543275
1.309699999999979e-06,0.0220029704864783,1.309699999999979e-06,0.002370842652594738,1.309699999999979e-06,0.0002375225264836932
1.309705999999979e-06,0.0225338495009519,1.309705999999979e-06,0.002440176545987398,1.309705999999979e-06,0.000244501951856911
1.309711999999979e-06,0.0230766907632121,1.309711999999979e-06,0.002512349498246747,1.309711999999979e-06,0.0002517707903569111
1.309717999999979e-06,0.02363115457246063,1.309717999999979e-06,0.00258748816388785,1.309717999999979e-06,0.0002593424280274619
1.309723999999979e-06,0.02419681595500465,1.309723999999979e-06,0.002665723341822499,1.309723999999979e-06,0.0002672307648712119
1.309729999999979e-06,0.0247731597399574,1.309729999999979e-06,0.002747189715881465,1.309729999999979e-06,0.000275450202792949
1.309735999999979e-06,0.02535957647049785,1.309735999999979e-06,0.00283202549755813,1.309735999999979e-06,0.0002840156255824585
1.309741999999979e-06,0.02595535937667545,1.309741999999979e-06,0.002920371952903144,1.309741999999979e-06,0.0002929423693091412
1.309747999999979e-06,0.02655970263469901,1.309747999999979e-06,0.003012372792965459,1.309747999999979e-06,0.0003022461812421074
1.309753999999979e-06,0.02717170112488907,1.309753999999979e-06,0.003108173404438832,1.309753999999979e-06,0.0003119431651201965
1.309759999999979e-06,0.02779035187499008,1.309759999999979e-06,0.003207919894369923,1.309759999999979e-06,0.0003220497102857042
1.309765999999979e-06,0.02841455733497304,1.309765999999979e-06,0.003311757919754133,1.309765999999979e-06,0.0003325824018418057
1.309771999999979e-06,0.02904313057575389,1.309771999999979e-06,0.00341983126994462,1.309771999999979e-06,0.0003435579086258715
1.309777999999979e-06,0.02967480243794302,1.309777999999979e-06,0.003532280167041182,1.309777999999979e-06,0.00035499284540177
1.309783999999979e-06,0.03030823057953516,1.309783999999979e-06,0.003649239246785471,1.309783999999979e-06,0.000366903605251021
1.309789999999978e-06,0.03094201029120138,1.309789999999978e-06,0.003770835180859081,1.309789999999978e-06,0.0003793061577633994
1.309795999999978e-06,0.03157468686378945,1.309795999999978e-06,0.003897183900142417,1.309795999999978e-06,0.000392215808205107
1.309801999999978e-06,0.03220476921809188,1.309801999999978e-06,0.004028387379175233,1.309801999999978e-06,0.0004056469125371791
1.309807999999978e-06,0.03283074443997409,1.309807999999978e-06,0.004164529943840298,1.309807999999978e-06,0.0004196125428580355
1.309813999999978e-06,0.03345109281733237,1.309813999999978e-06,0.004305674069160544,1.309813999999978e-06,0.0004341240977395675
1.309819999999978e-06,0.03406430294630167,1.309819999999978e-06,0.004451855641401875,1.309819999999978e-06,0.0004491908519364474
1.309825999999978e-06,0.03466888647193295,1.309825999999978e-06,0.00460307867059702,1.309825999999978e-06,0.0004648194402919563
1.309831999999978e-06,0.03526339204622912,1.309831999999978e-06,0.0047593094553864,1.309831999999978e-06,0.0004810132712677575
1.309837999999978e-06,0.03584641812956509,1.309837999999978e-06,0.004920470224121913,1.309837999999978e-06,0.0004977718666613338
1.309843999999978e-06,0.03641662432038473,1.309843999999978e-06,0.005086432303801054,1.309843999999978e-06,0.0005150901257217051
1.309849999999978e-06,0.03697274097157125,1.309849999999978e-06,0.005257008902925565,1.309849999999978e-06,0.0005329575142541288
1.309855999999978e-06,0.03751357693281453,1.309855999999978e-06,0.005431947635578395,1.309855999999978e-06,0.0005513571825255441
1.309861999999978e-06,0.03803802534062498,1.309861999999978e-06,0.005610922961337639,1.309861999999978e-06,0.0005702650199730528
1.309867999999978e-06,0.03854506745628717,1.309867999999978e-06,0.005793528767909321,1.309867999999978e-06,0.0005896486599999521
1.309873999999978e-06,0.03903377462283297,1.309873999999978e-06,0.005979271378468936,1.309873999999978e-06,0.0006094664546033242
1.309879999999978e-06,0.03950330847052273,1.309879999999978e-06,0.006167563319866822,1.309879999999978e-06,0.0006296664461652242
1.309885999999978e-06,0.03995291954623523,1.309885999999978e-06,0.006357718237160406,1.309885999999978e-06,0.0006501853724075802
1.309891999999978e-06,0.04038194457343854,1.309891999999978e-06,0.006548947378294443,1.309891999999978e-06,0.0006709477499409146
1.309897999999978e-06,0.04078980256717619,1.309897999999978e-06,0.006740358093994133,1.309897999999978e-06,0.0006918650915871641
1.309903999999978e-06,0.04117599003468609,1.309903999999978e-06,0.006930954795804399,1.309903999999978e-06,0.0007128353220631064
1.309909999999978e-06,0.04154007548727218,1.309909999999978e-06,0.007119642783085493,1.309909999999978e-06,0.0007337424646476856
1.309915999999978e-06,0.04188169347713705,1.309915999999978e-06,0.007305235284180765,1.309915999999978e-06,0.0007544566770125364
1.309921999999977e-06,0.04220053835429143,1.309921999999977e-06,0.007486463955210616,1.309921999999977e-06,0.0007748347159511964
1.309927999999977e-06,0.04249635791719773,1.309927999999977e-06,0.007661992944500832,1.309927999999977e-06,0.0007947209068544562
1.309933999999977e-06,0.04276894710703596,1.309933999999977e-06,0.007830436466602909,1.309933999999977e-06,0.0008139486829036983
1.309939999999977e-06,0.04301814187185285,1.309939999999977e-06,0.007990379647371312,1.309939999999977e-06,0.0008323427399594832
1.309945999999977e-06,0.04324381330407339,1.309945999999977e-06,0.008140402213388813,1.309945999999977e-06,0.0008497218253806851
1.309951999999977e-06,0.04344586213377144,1.309951999999977e-06,0.008279104420050714,1.309951999999977e-06,0.0008659021427986598
1.309957999999977e-06,0.04362421364154503,1.309957999999977e-06,0.008405134457975255,1.309957999999977e-06,0.000880701311648
1.309963999999977e-06,0.04377881303881073,1.309963999999977e-06,0.008517216459936269,1.309963999999977e-06,0.0008939427727503498
1.309969999999977e-06,0.04390962134981808,1.309969999999977e-06,0.00861417815943508,1.309969999999977e-06,0.0009054604834867566
1.309975999999977e-06,0.044016611819242,1.309975999999977e-06,0.008694977232314634,1.309975999999977e-06,0.00091510370318727
1.309981999999977e-06,0.04409976686066525,1.309981999999977e-06,0.008758725383254241,1.309981999999977e-06,0.0009227416367670043
1.309987999999977e-06,0.04415907555529931,1.309987999999977e-06,0.008804709315349735,1.309987999999977e-06,0.0009282676876702586
1.309993999999977e-06,0.04419453170595452,1.309993999999977e-06,0.008832407834960686,1.309993999999977e-06,0.0009316030738643042
1.309999999999977e-06,0.04420613244855451,1.309999999999977e-06,0.008841504486637111,1.309999999999977e-06,0.0009326995850232985
1.310005999999977e-06,0.04419387742200306,1.310005999999977e-06,0.008831895275290673,1.310005999999977e-06,0.0009315413045685415
1.310011999999977e-06,0.04415776849643078,1.310011999999977e-06,0.008803691207143131,1.310011999999977e-06,0.0009281451834403503
1.310017999999977e-06,0.04409781005974795,1.310017999999977e-06,0.008757215561786888,1.310017999999977e-06,0.0009225604274362348
1.310023999999977e-06,0.04401400986235662,1.310023999999977e-06,0.008692995990231161,1.310023999999977e-06,0.0009148667389182436
1.310029999999977e-06,0.04390638041970958,1.310029999999977e-06,0.008611751714326479,1.310029999999977e-06,0.0009051715283662371
1.310035999999977e-06,0.04377494097165905,1.310035999999977e-06,0.008514376276863045,1.310035999999977e-06,0.0008936062739502537
1.310041999999977e-06,0.04361971999605394,1.310041999999977e-06,0.008401916453206933,1.310041999999977e-06,0.000880322252144314
1.310047999999977e-06,0.04344075827111987,1.310047999999977e-06,0.008275548076710671,1.310047999999977e-06,0.0008654858860438142
1.310053999999976e-06,0.04323811247713397,1.310053999999976e-06,0.008136549642915767,1.310053999999976e-06,0.0008492739600456611
1.310059999999976e-06,0.04301185932135541,1.310059999999976e-06,0.007986274631822507,1.310059999999976e-06,0.0008318689319356718
1.310065999999976e-06,0.04276210016229125,1.310065999999976e-06,0.007826123516554571,1.310065999999976e-06,0.0008134545404522124
1.310071999999976e-06,0.04248896609816859,1.310071999999976e-06,0.007657516404627222,1.310071999999976e-06,0.0007942118631835772
1.310077999999976e-06,0.04219262347150075,1.310077999999976e-06,0.007481867185612602,1.310077999999976e-06,0.000774315931880834
1.310083999999976e-06,0.04187327972530633,1.310083999999976e-06,0.007300559939930079,1.310083999999976e-06,0.0007539329648343333
1.310089999999976e-06,0.04153118952801982,1.310089999999976e-06,0.007114928207951138,1.310089999999976e-06,0.0007332182329517996
1.310095999999976e-06,0.04116666106328812,1.310095999999976e-06,0.006926237539359591,1.310095999999976e-06,0.0007123145402541917
1.310101999999976e-06,0.04078006235783573,1.310101999999976e-06,0.006735671554525597,1.310101999999976e-06,0.0006913512720453521
1.310107999999976e-06,0.04037182749728057,1.310107999999976e-06,0.006544321567938444,1.310107999999976e-06,0.0006704439453226314
1.310113999999976e-06,0.03994246255618166,1.310113999999976e-06,0.006353179660698875,1.310113999999976e-06,0.0006496941853754328
1.310119999999976e-06,0.03949255104726627,1.310119999999976e-06,0.006163134954818031,1.310119999999976e-06,0.0006291900488336106
1.310125999999976e-06,0.03902275867664926,1.310125999999976e-06,0.005974972741702137,1.310125999999976e-06,0.0006090066151475371
1.310131999999976e-06,0.03853383717985322,1.310131999999976e-06,0.005789376052690118,1.310131999999976e-06,0.0005892067741223981
1.310137999999976e-06,0.03802662700948784,1.310137999999976e-06,0.005606929228776147,1.310137999999976e-06,0.0005698421452557408
1.310143999999976e-06,0.03750205865129191,1.310143999999976e-06,0.005428123045101369,1.310143999999976e-06,0.0005509540740233652
1.310149999999976e-06,0.03696115236376064,1.310149999999976e-06,0.005253360967856252,1.310149999999976e-06,0.0005325746600225228
1.310155999999976e-06,0.03640501616829915,1.310155999999976e-06,0.005082966160021371,1.310155999999976e-06,0.0005147277812901506
1.310161999999976e-06,0.03583484196220058,1.310161999999976e-06,0.00491718890162646,1.310161999999976e-06,0.0004974300877207475
1.310167999999976e-06,0.03525189968649908,1.310167999999976e-06,0.004756214144796416,1.310167999999976e-06,0.0004806919440984988
1.310173999999976e-06,0.0346575295501941,1.310173999999976e-06,0.004600168978444221,1.310173999999976e-06,0.0004645183096328608
1.310179999999975e-06,0.03405313239175704,1.310179999999975e-06,0.004449129829856167,1.310179999999975e-06,0.0004489095461621962
1.310185999999975e-06,0.03344015834009273,1.310185999999975e-06,0.004303129277306762,1.310185999999975e-06,0.0004338621513242358
1.310191999999975e-06,0.03282009401797445,1.310191999999975e-06,0.004162162388921108,1.310191999999975e-06,0.0004193694161961012
1.310197999999975e-06,0.03219444860319739,1.310197999999975e-06,0.004026192537136102,1.310197999999975e-06,0.0004054220092458589
1.310203999999975e-06,0.03156473912184062,1.310203999999975e-06,0.003895156665744015,1.310203999999975e-06,0.000392008490088202
1.310209999999975e-06,0.03093247538863831,1.310209999999975e-06,0.003768970007958402,1.310209999999975e-06,0.000379115757616359
1.310215999999975e-06,0.03029914502859447,1.310215999999975e-06,0.003647530270032922,1.310215999999975e-06,0.0003667294377233824
1.310221999999975e-06,0.02966619900889248,1.310221999999975e-06,0.003530721306258902,1.310221999999975e-06,0.0003548342161102135
1.310227999999975e-06,0.02903503808291934,1.310227999999975e-06,0.003418416318816711,1.310227999999975e-06,0.0003434141217286045
1.310233999999975e-06,0.02840700049905936,1.310233999999975e-06,0.003310480620284989,1.310233999999975e-06,0.0003324527662515845
1.310239999999975e-06,0.02778335126220071,1.310239999999975e-06,0.00320677399875807,1.310239999999975e-06,0.0003219335447063511
1.310245999999975e-06,0.0271652731595793,1.310245999999975e-06,0.003107152725795708,1.310245999999975e-06,0.0003118398020604043
1.310251999999975e-06,0.0265538596803411,1.310251999999975e-06,0.003011471246320713,1.310251999999975e-06,0.0003021549701551329
