g0_dB (T=35) X,g0_dB (T=35) Y,g0_dB (T=55) X,g0_dB (T=55) Y,g0_dB (T=70) X,g0_dB (T=70) Y,g0_dB (T=80) X,g0_dB (T=80) Y
1.298159999999437e-06,11.78106200118293,1.298159999999437e-06,10.4239048456781,1.298159999999437e-06,8.920155836096802,1.298159999999437e-06,7.620829614813994
1.298164999999437e-06,11.78077195027985,1.298164999999437e-06,10.42390824353761,1.298164999999437e-06,8.920394074033119,1.298164999999437e-06,7.621193948530393
1.298169999999437e-06,11.78048172070571,1.298169999999437e-06,10.423911466672,1.298169999999437e-06,8.920632177400972,1.298169999999437e-06,7.621558187422536
1.298174999999437e-06,11.78019131249762,1.298174999999437e-06,10.42391451508088,1.298174999999437e-06,8.920870146177505,1.298174999999437e-06,7.621922331464003
1.298179999999437e-06,11.77990072569273,1.298179999999437e-06,10.4239173887639,1.298179999999437e-06,8.921107980339878,1.298179999999437e-06,7.622286380628367
1.298184999999437e-06,11.77960996032816,1.298184999999437e-06,10.42392008772069,1.298184999999437e-06,8.921345679865272,1.298184999999437e-06,7.622650334889228
1.298189999999437e-06,11.7793190164411,1.298189999999437e-06,10.42392261195093,1.298189999999437e-06,8.921583244730844,1.298189999999437e-06,7.623014194220133
1.298194999999437e-06,11.77902789406872,1.298194999999437e-06,10.42392496145433,1.298194999999437e-06,8.921820674913794,1.298194999999437e-06,7.623377958594677
1.298199999999437e-06,11.77873659324822,1.298199999999437e-06,10.42392713623059,1.298199999999437e-06,8.922057970391323,1.298199999999437e-06,7.62374162798645
1.298204999999437e-06,11.77844511401681,1.298204999999437e-06,10.42392913627945,1.298204999999437e-06,8.922295131140636,1.298204999999437e-06,7.624105202369034
1.298209999999436e-06,11.77815345641172,1.298209999999436e-06,10.42393096160067,1.298209999999436e-06,8.922532157138956,1.298209999999436e-06,7.624468681716015
1.298214999999436e-06,11.7778616204702,1.298214999999436e-06,10.42393261219404,1.298214999999436e-06,8.922769048363522,1.298214999999436e-06,7.624832066001003
1.298219999999436e-06,11.77756960622952,1.298219999999436e-06,10.42393408805935,1.298219999999436e-06,8.923005804791549,1.298219999999436e-06,7.625195355197553
1.298224999999436e-06,11.77727741372697,1.298224999999436e-06,10.42393538919642,1.298224999999436e-06,8.9232424264003,1.298224999999436e-06,7.625558549279273
1.298229999999436e-06,11.77698504299983,1.298229999999436e-06,10.4239365156051,1.298229999999436e-06,8.923478913167029,1.298229999999436e-06,7.625921648219754
1.298234999999436e-06,11.77669249408544,1.298234999999436e-06,10.42393746728525,1.298234999999436e-06,8.923715265069013,1.298234999999436e-06,7.626284651992597
1.298239999999436e-06,11.77639976702109,1.298239999999436e-06,10.42393824423675,1.298239999999436e-06,8.923951482083538,1.298239999999436e-06,7.626647560571412
1.298244999999436e-06,11.77610686184418,1.298244999999436e-06,10.42393884645952,1.298244999999436e-06,8.924187564187871,1.298244999999436e-06,7.627010373929765
1.298249999999436e-06,11.77581377859205,1.298249999999436e-06,10.42393927395348,1.298249999999436e-06,8.924423511359324,1.298249999999436e-06,7.627373092041272
1.298254999999436e-06,11.77552051730209,1.298254999999436e-06,10.42393952671857,1.298254999999436e-06,8.924659323575206,1.298254999999436e-06,7.627735714879538
1.298259999999436e-06,11.7752270780117,1.298259999999436e-06,10.42393960475478,1.298259999999436e-06,8.924895000812834,1.298259999999436e-06,7.628098242418162
1.298264999999436e-06,11.77493346075828,1.298264999999436e-06,10.42393950806208,1.298264999999436e-06,8.925130543049551,1.298264999999436e-06,7.628460674630769
1.298269999999436e-06,11.77463966557929,1.298269999999436e-06,10.42393923664049,1.298269999999436e-06,8.925365950262679,1.298269999999436e-06,7.628823011490931
1.298274999999436e-06,11.77434569251217,1.298274999999436e-06,10.42393879049005,1.298274999999436e-06,8.925601222429568,1.298274999999436e-06,7.629185252972275
1.298279999999435e-06,11.77405154159438,1.298279999999435e-06,10.4239381696108,1.298279999999435e-06,8.925836359527588,1.298279999999435e-06,7.629547399048409
1.298284999999435e-06,11.77375721286341,1.298284999999435e-06,10.42393737400282,1.298284999999435e-06,8.926071361534104,1.298284999999435e-06,7.629909449692946
1.298289999999435e-06,11.77346270635674,1.298289999999435e-06,10.42393640366621,1.298289999999435e-06,8.92630622842651,1.298289999999435e-06,7.630271404879515
1.298294999999435e-06,11.77316802211193,1.298294999999435e-06,10.42393525860108,1.298294999999435e-06,8.926540960182173,1.298294999999435e-06,7.630633264581697
1.298299999999435e-06,11.77287316016648,1.298299999999435e-06,10.42393393880758,1.298299999999435e-06,8.926775556778503,1.298299999999435e-06,7.630995028773131
1.298304999999435e-06,11.77257812055795,1.298304999999435e-06,10.42393244428585,1.298304999999435e-06,8.927010018192913,1.298304999999435e-06,7.631356697427431
1.298309999999435e-06,11.7722829033239,1.298309999999435e-06,10.4239307750361,1.298309999999435e-06,8.927244344402823,1.298309999999435e-06,7.631718270518216
1.298314999999435e-06,11.77198750850191,1.298314999999435e-06,10.4239289310585,1.298314999999435e-06,8.927478535385674,1.298314999999435e-06,7.632079748019127
1.298319999999435e-06,11.7716919361296,1.298319999999435e-06,10.42392691235329,1.298319999999435e-06,8.927712591118887,1.298319999999435e-06,7.632441129903755
1.298324999999435e-06,11.77139618624458,1.298324999999435e-06,10.42392471892071,1.298324999999435e-06,8.92794651157992,1.298324999999435e-06,7.632802416145741
1.298329999999435e-06,11.77110025888447,1.298329999999435e-06,10.42392235076103,1.298329999999435e-06,8.928180296746236,1.298329999999435e-06,7.633163606718711
1.298334999999435e-06,11.77080415408693,1.298334999999435e-06,10.42391980787453,1.298334999999435e-06,8.928413946595311,1.298334999999435e-06,7.633524701596297
1.298339999999435e-06,11.77050787188961,1.298339999999435e-06,10.42391709026151,1.298339999999435e-06,8.928647461104633,1.298339999999435e-06,7.633885700752145
1.298344999999434e-06,11.77021141233021,1.298344999999434e-06,10.42391419792231,1.298344999999434e-06,8.928880840251676,1.298344999999434e-06,7.634246604159851
1.298349999999434e-06,11.76991477544644,1.298349999999434e-06,10.42391113085728,1.298349999999434e-06,8.929114084013946,1.298349999999434e-06,7.634607411793068
1.298354999999434e-06,11.76961796127599,1.298354999999434e-06,10.42390788906678,1.298354999999434e-06,8.929347192368963,1.298354999999434e-06,7.634968123625434
1.298359999999434e-06,11.7693209698566,1.298359999999434e-06,10.4239044725512,1.298359999999434e-06,8.929580165294249,1.298359999999434e-06,7.635328739630584
1.298364999999434e-06,11.76902380122602,1.298364999999434e-06,10.42390088131097,1.298364999999434e-06,8.929813002767341,1.298364999999434e-06,7.635689259782174
