/Pdrop (Plsr=1.00e+00) X,/Pdrop (Plsr=1.00e+00) Y,/Pdrop (Plsr=1.00e-01) X,/Pdrop (Plsr=1.00e-01) Y,/Pdrop (Plsr=1.00e-02) X,/Pdrop (Plsr=1.00e-02) Y,/Pdrop (Plsr=1.00e-03) X,/Pdrop (Plsr=1.00e-03) Y,/Pdrop (Plsr=1.00e-04) X,/Pdrop (Plsr=1.00e-04) Y,/Pdrop (Plsr=1.00e-08) X,/Pdrop (Plsr=1.00e-08) Y
1.307233999999998e-06,0.06997865725763311,1.307233999999998e-06,0.01451839320961884,1.307233999999998e-06,0.001489662272100279,1.307233999999998e-06,0.0001490563136026961,1.307233999999998e-06,1.490000375782592e-05,1.307233999999998e-06,1.490001035915699e-09
1.307239999999998e-06,0.06945922642784853,1.307239999999998e-06,0.013849548350593,1.307239999999998e-06,0.001417012072761172,1.307239999999998e-06,0.0001417773009786014,1.307239999999998e-06,1.417262196194229e-05,1.307239999999998e-06,1.4172627697031e-09
1.307245999999998e-06,0.06890742791297867,1.307245999999998e-06,0.01322410931260396,1.307245999999998e-06,0.001349699484537828,1.307245999999998e-06,0.0001350345429310984,1.307245999999998e-06,1.349881189026082e-05,1.307245999999998e-06,1.349881690589994e-09
1.307251999999998e-06,0.06832283436525817,1.307251999999998e-06,0.01263919824888053,1.307251999999998e-06,0.001287249104904707,1.307251999999998e-06,0.0001287800081755579,1.307251999999998e-06,1.287377620028565e-05,1.307251999999998e-06,1.287378061485178e-09
1.307257999999998e-06,0.06770531101940648,1.307257999999998e-06,0.01209204241926307,1.307257999999998e-06,0.001229233425802228,1.307257999999998e-06,0.0001229705594735998,1.307257999999998e-06,1.229320638277078e-05,1.307257999999998e-06,1.229321029230921e-09
1.307263999999998e-06,0.06705504765521492,1.307263999999998e-06,0.01158000072761419,1.307263999999998e-06,0.001175267789532871,1.307263999999998e-06,0.0001175674254813077,1.307263999999998e-06,1.175322997624611e-05,1.307263999999998e-06,1.175323345909831e-09
1.307269999999998e-06,0.06637258340827702,1.307269999999998e-06,0.01110057922333429,1.307269999999998e-06,0.001125005834668592,1.307269999999998e-06,0.0001125357272733566,1.307269999999998e-06,1.12503632582411e-05,1.307269999999998e-06,1.125036637864232e-09
1.307275999999998e-06,0.06565882255327994,1.307275999999998e-06,0.01065143849187654,1.307275999999998e-06,0.001078135406109315,1.307275999999998e-06,0.000107844055542627,1.307275999999998e-06,1.078146900830702e-05,1.307275999999998e-06,1.07814718191968e-09
1.307281999999998e-06,0.06491503974258757,1.307281999999998e-06,0.01023039522446371,1.307281999999998e-06,0.001034374896258124,1.307281999999998e-06,0.0001034640941217759,1.307281999999998e-06,1.034371890394587e-05,1.307281999999998e-06,1.034372144917407e-09
1.307287999999998e-06,0.0641428737080999,1.307287999999998e-06,0.009835419724883094,1.307287999999998e-06,0.000993469980989611,1.307287999999998e-06,9.937028541251131e-05,1.307287999999998e-06,9.934560106120125e-06,1.307287999999998e-06,9.93456242218676e-10
1.307293999999998e-06,0.0633443090938051,1.307293999999998e-06,0.009464630680941513,1.307293999999998e-06,0.0009551907135142093,1.307293999999998e-06,9.553953344877605e-05,1.307293999999998e-06,9.551685605746357e-06,1.307293999999998e-06,9.551687723180186e-10
1.307299999999998e-06,0.06252164682175215,1.307299999999998e-06,0.009116288187992202,1.307299999999998e-06,0.0009193289403055256,1.307299999999998e-06,9.195094057269792e-05,1.307299999999998e-06,9.193007928329359e-06,1.307299999999998e-06,9.193009872785237e-10
1.307305999999998e-06,0.0616774641300902,1.307305999999998e-06,0.008788785747100845,1.307305999999998e-06,0.0008856960052045838,1.307305999999998e-06,8.85659842323398e-05,1.307305999999998e-06,8.85663582484457e-06,1.307305999999998e-06,8.856637617981039e-10
1.307311999999998e-06,0.06081456608389117,1.307311999999998e-06,0.0084806417587315,1.307311999999998e-06,0.00085412071038605,1.307311999999998e-06,8.54082022258649e-05,1.307311999999998e-06,8.540853610626158e-06,1.307311999999998e-06,8.540855270810311e-10
1.307317999999997e-06,0.05993593087202285,1.307317999999997e-06,0.008190490879348804,1.307317999999997e-06,0.0008244475055344242,1.307317999999997e-06,8.244073088572959e-05,1.307317999999997e-06,8.244102847192367e-06,1.307317999999997e-06,8.244104390068531e-10
1.307323999999997e-06,0.05904465152030868,1.307323999999997e-06,0.007917075494822004,1.307323999999997e-06,0.0007965348794072357,1.307323999999997e-06,7.964939483937214e-05,1.307323999999997e-06,7.964966094418828e-06,1.307323999999997e-06,7.964967533369371e-10
1.307329999999997e-06,0.05814387674047532,1.307329999999997e-06,0.00765923747937681,1.307329999999997e-06,0.0007702539305576127,1.307329999999997e-06,7.702128619382342e-05,1.307329999999997e-06,7.702152490208345e-06,1.307329999999997e-06,7.70215383672863e-10
1.307335999999997e-06,0.05723675350700289,1.307335999999997e-06,0.007415910347593956,1.307335999999997e-06,0.0007454870965490786,1.307335999999997e-06,7.454463463662782e-05,1.307335999999997e-06,7.454484942727308e-06,1.307335999999997e-06,7.454486206732021e-10
1.307341999999997e-06,0.05632637363493855,1.307341999999997e-06,0.007186111861865646,1.307341999999997e-06,0.0007221270232623839,1.307341999999997e-06,7.220869360441075e-05,1.307341999999997e-06,7.220888745035069e-06,1.307341999999997e-06,7.220889935109582e-10
1.307347999999997e-06,0.05541572617798328,1.307347999999997e-06,0.006968937126478781,1.307347999999997e-06,0.0007000755580566248,1.307347999999997e-06,7.000363899852101e-05,1.307347999999997e-06,7.000381444854533e-06,1.307347999999997e-06,7.0003825684619e-10
1.307353999999997e-06,0.05450765692992499,1.307353999999997e-06,0.006763552176460003,1.307353999999997e-06,0.0006792428523656483,1.307353999999997e-06,6.79204789715664e-05,1.307353999999997e-06,6.79206382177866e-06,1.307353999999997e-06,6.792064885430788e-10
1.307359999999997e-06,0.05360483576490987,1.307359999999997e-06,0.006569188054898343,1.307359999999997e-06,0.0006595465610896741,1.307359999999997e-06,6.595097349151626e-05,1.307359999999997e-06,6.595111842508936e-06,1.307359999999997e-06,6.595112851908643e-10
1.307365999999997e-06,0.05270973203319095,1.307365999999997e-06,0.006385135361649536,1.307365999999997e-06,0.0006409111275765088,1.307365999999997e-06,6.408756254293751e-05,1.307365999999997e-06,6.408769480026607e-06,1.307365999999997e-06,6.408770440186e-10
1.307371999999997e-06,0.05182459778869612,1.307371999999997e-06,0.006210739250574871,1.307371999999997e-06,0.0006232671443832369,1.307371999999997e-06,6.232330196664714e-05,1.307371999999997e-06,6.232342296781202e-06,1.307371999999997e-06,6.232343212120615e-10
1.307377999999997e-06,0.05095145827536481,1.307377999999997e-06,0.006045394848245239,1.307377999999997e-06,0.0006065507811323862,1.307377999999997e-06,6.065180605746769e-05,1.307377999999997e-06,6.065191703830377e-06,1.307377999999997e-06,6.06519257826141e-10
1.307383999999997e-06,0.05009210885816575,1.307383999999997e-06,0.005888543065699934,1.307383999999997e-06,0.0005907032718585608,1.307383999999997e-06,5.906719614866522e-05,1.307383999999997e-06,5.906729818761704e-06,1.307383999999997e-06,5.906730655757148e-10
1.307389999999997e-06,0.04924811744068413,1.307389999999997e-06,0.005739666774204914,1.307389999999997e-06,0.0005756704551346767,1.307389999999997e-06,5.756405450441225e-05,1.307389999999997e-06,5.75641485450882e-06,1.307389999999997e-06,5.756415657161717e-10
1.307395999999997e-06,0.04842083135477819,1.307395999999997e-06,0.005598287316327026,1.307395999999997e-06,0.0005614023610607446,1.307395999999997e-06,5.613738292276488e-05,1.307395999999997e-06,5.613746979293696e-06,1.307395999999997e-06,5.613747750367407e-10
1.307401999999997e-06,0.04761138772298529,1.307401999999997e-06,0.005463961324864612,1.307401999999997e-06,0.0005478528399200227,1.307401999999997e-06,5.478256552410896e-05,1.307401999999997e-06,5.478264595176454e-06,1.307401999999997e-06,5.478265337147249e-10
1.307407999999997e-06,0.0468207263591115,1.307407999999997e-06,0.005336277823433021,1.307407999999997e-06,0.0005349792279088906,1.307407999999997e-06,5.34953352623282e-05,1.307407999999997e-06,5.349540988927053e-06,1.307407999999997e-06,5.349541704020436e-10
1.307413999999997e-06,0.04604960437187047,1.307413999999997e-06,0.005214855584180601,1.307413999999997e-06,0.0005227420458934466,1.307413999999997e-06,5.227174375082193e-05,1.307413999999997e-06,5.227181314422576e-06,1.307413999999997e-06,5.22718200464437e-10
1.307419999999997e-06,0.04529861175400172,1.307419999999997e-06,0.005099340719868464,1.307419999999997e-06,0.0005111047276241107,1.307419999999997e-06,5.110813404386929e-05,1.307419999999997e-06,5.110819870612581e-06,1.307419999999997e-06,5.110820537775613e-10
1.307425999999997e-06,0.04456818736151728,1.307425999999997e-06,0.004989404489138114,1.307425999999997e-06,0.0005000333742406568,1.307425999999997e-06,5.000111605518341e-05,1.307425999999997e-06,5.000117643230992e-06,1.307425999999997e-06,5.000118288978082e-10
1.307431999999997e-06,0.04385863480912594,1.307431999999997e-06,0.004884741295722418,1.307431999999997e-06,0.0004894965322877654,1.307431999999997e-06,4.894754433340515e-05,1.307431999999997e-06,4.894760082224743e-06,1.307431999999997e-06,4.894760708048522e-10
1.307437999999997e-06,0.04317013791697748,1.307437999999997e-06,0.004785066863739993,1.307437999999997e-06,0.0004794649927559509,1.307437999999997e-06,4.794449794558045e-05,1.307437999999997e-06,4.79445508999964e-06,1.307437999999997e-06,4.794455697259734e-10
1.307443999999997e-06,0.04250277544352247,1.307443999999997e-06,0.004690116573023165,1.307443999999997e-06,0.0004699116089701851,1.307443999999997e-06,4.698926224909234e-05,1.307443999999997e-06,4.698931198527442e-06,1.307443999999997e-06,4.698931788465394e-10
1.307449999999996e-06,0.04185653492139956,1.307449999999996e-06,0.004599643939658892,1.307449999999996e-06,0.0004608111313735287,1.307449999999996e-06,4.60793123567103e-05,1.307449999999996e-06,4.607935915777744e-06,1.307449999999996e-06,4.607936489529984e-10
1.307455999999996e-06,0.04123132548314479,1.307455999999996e-06,0.004513419228391883,1.307455999999996e-06,0.0004521400574830898,1.307455999999996e-06,4.521229812136427e-05,1.307455999999996e-06,4.521234224133286e-06,1.307455999999996e-06,4.521234782742477e-10
1.307461999999996e-06,0.04062698961893752,1.307461999999996e-06,0.004431228184786666,1.307461999999996e-06,0.0004438764954878668,1.307461999999996e-06,4.438603048727673e-05,1.307461999999996e-06,4.438607215450244e-06,1.307461999999996e-06,4.4386077598752e-10
1.307467999999996e-06,0.04004331385120036,1.307467999999996e-06,0.004352870876130367,1.307467999999996e-06,0.0004360000401215755,1.307467999999996e-06,4.359846907029765e-05,1.307467999999996e-06,4.359850849046545e-06,1.307467999999996e-06,4.359851380170932e-10
1.307473999999996e-06,0.03948003834318632,1.307473999999996e-06,0.004278160631109954,1.307473999999996e-06,0.0004284916595937809,1.307473999999996e-06,4.284771084560346e-05,1.307473999999996e-06,4.284774820433053e-06,1.307473999999996e-06,4.284775339073054e-10
1.307479999999996e-06,0.038936865482348,1.307479999999996e-06,0.004206923069304298,1.307479999999996e-06,0.0004213335925002869,1.307479999999996e-06,4.213197983425518e-05,1.307479999999996e-06,4.213201529936181e-06,1.307479999999996e-06,4.213202036847258e-10
1.307485999999996e-06,0.0384134674943566,1.307485999999996e-06,0.004138995212290088,1.307485999999996e-06,0.000414509253739921,1.307485999999996e-06,4.14496176915319e-05,1.307485999999996e-06,4.144965141502712e-06,1.307485999999996e-06,4.144965637385559e-10
1.307491999999996e-06,0.03790949315432421,1.307491999999996e-06,0.0040742246690418,1.307491999999996e-06,0.000408003148578012,1.307491999999996e-06,4.079907511052044e-05,1.307491999999996e-06,4.079910723034113e-06,1.307491999999996e-06,4.079911208539958e-10
1.307497999999996e-06,0.03742457366667168,1.307497999999996e-06,0.004012468888948973,1.307497999999996e-06,0.0004018007940818452,1.307497999999996e-06,4.017890396356633e-05,1.307497999999996e-06,4.017893460510412e-06,1.307497999999996e-06,4.017893936245708e-10
1.307503999999996e-06,0.03695832778711312,1.307503999999996e-06,0.003953594476431699,1.307503999999996e-06,0.000395888647236231,1.307503999999996e-06,3.958775011221419e-05,1.307503999999996e-06,3.958777938965832e-06,1.307503999999996e-06,3.958778405496444e-10
1.307509999999996e-06,0.03651036625955117,1.307509999999996e-06,0.003897476561708808,1.307509999999996e-06,0.0003902540391189308,1.307509999999996e-06,3.902434682352593e-05,1.307509999999996e-06,3.902437484104666e-06,1.307509999999996e-06,3.902437941959603e-10
1.307515999999996e-06,0.03608029563818534,1.307515999999996e-06,0.003843998222789044,1.307515999999996e-06,0.0003848851145790575,1.307515999999996e-06,3.848750873702574e-05,1.307515999999996e-06,3.848753558981911e-06,1.307515999999996e-06,3.848754008656656e-10
1.307521999999996e-06,0.03566772156172499,1.307521999999996e-06,0.003793049954256036,1.307521999999996e-06,0.0003797707769215115,1.307521999999996e-06,3.797612633242953e-05,1.307521999999996e-06,3.797615210764165e-06,1.307521999999996e-06,3.797615652723676e-10
1.307527999999996e-06,0.03527225154149284,1.307527999999996e-06,0.003744529178755292,1.307527999999996e-06,0.0003749006371424597,1.307527999999996e-06,3.748916085283408e-05,1.307527999999996e-06,3.748918563038005e-06,1.307527999999996e-06,3.748918997719385e-10
1.307533999999996e-06,0.03489349732159411,1.307533999999996e-06,0.003698339797622837,1.307533999999996e-06,0.0003702649673209654,1.307533999999996e-06,3.702563964345243e-05,1.307533999999996e-06,3.702566349674357e-06,1.307533999999996e-06,3.702566777489286e-10
1.307539999999996e-06,0.03453107686275328,1.307539999999996e-06,0.003654391777240495,1.307539999999996e-06,0.0003658546577921353,1.307539999999996e-06,3.6584651868898e-05,1.307539999999996e-06,3.658467486548856e-06,1.307539999999996e-06,3.658467907885766e-10
1.307545999999996e-06,0.03418461599828092,1.307545999999996e-06,0.003612600768233494,1.307545999999996e-06,0.000361661177785184,1.307545999999996e-06,3.616534457678483e-05,1.307545999999996e-06,3.616536677894829e-06,1.307545999999996e-06,3.616537093120864e-10
1.307551999999996e-06,0.03385374980412707,1.307551999999996e-06,0.00357288775469246,1.307551999999996e-06,0.0003576765392204823,1.307551999999996e-06,3.576691907755883e-05,1.307551999999996e-06,3.576694054280226e-06,1.307551999999996e-06,3.576694463743041e-10
1.307557999999996e-06,0.03353812372204627,1.307557999999996e-06,0.003535178731047302,1.307557999999996e-06,0.0003538932634077412,1.307557999999996e-06,3.538862761427748e-05,1.307557999999996e-06,3.53886483958016e-06,1.307557999999996e-06,3.538865243609532e-10
1.307563999999996e-06,0.03323739446934975,1.307563999999996e-06,0.003499404404286474,1.307563999999996e-06,0.0003503043503969722,1.307563999999996e-06,3.502977029790159e-05,1.307563999999996e-06,3.502979044501279e-06,1.307563999999996e-06,3.502979443410587e-10
1.307569999999996e-06,0.03295123076590466,1.307569999999996e-06,0.003465499919549839,1.307569999999996e-06,0.0003469032507698734,1.307569999999996e-06,3.468969228652072e-05,1.307569999999996e-06,3.468971184500105e-06,1.307569999999996e-06,3.468971578587671e-10
1.307575999999996e-06,0.0326793139047405,1.307575999999996e-06,0.003433404607219327,1.307575999999996e-06,0.0003436838396709734,1.307575999999996e-06,3.436778118867813e-05,1.307575999999996e-06,3.43678002011177e-06,1.307575999999996e-06,3.436780409662078e-10
1.307581999999995e-06,0.03242133819004801,1.307581999999995e-06,0.003403061749875798,1.307581999999995e-06,0.0003406403929041275,1.307581999999995e-06,3.406346467314336e-05,1.307581999999995e-06,3.406348317924014e-06,1.307581999999995e-06,3.406348703208849e-10
1.307587999999995e-06,0.03217701126275731,1.307587999999995e-06,0.003374418367559369,1.307587999999995e-06,0.0003377675649283519,1.307587999999995e-06,3.37762082687602e-05,1.307587999999995e-06,3.37762263055903e-06,1.307587999999995e-06,3.3776230118385e-10
1.307593999999995e-06,0.03194605433206554,1.307593999999995e-06,0.003347425019999827,1.307593999999995e-06,0.0003350603686112622,1.307593999999995e-06,3.350551333994387e-05,1.307593999999995e-06,3.350553094220628e-06,1.307593999999995e-06,3.350553471744113e-10
1.307599999999995e-06,0.03172820232846185,1.307599999999995e-06,0.00332203562454767,1.307599999999995e-06,0.0003325141566058965,1.307599999999995e-06,3.325091522457126e-05,1.307599999999995e-06,3.325093242480937e-06,1.307599999999995e-06,3.325093616487972e-10
1.307605999999995e-06,0.03152320399194001,1.307605999999995e-06,0.003298207288672464,1.307605999999995e-06,0.0003301246042312759,1.307605999999995e-06,3.301198152224475e-05,1.307605999999995e-06,3.301199835104787e-06,1.307605999999995e-06,3.301200205825858e-10
